agreeableness,extraversion,neuroticism,education,age
5.6,4.0,2.0,5,68
4.0,4.0,3.2,5,51
5.6,5.0,2.4,3,41
4.6,4.6,1.4,5,48
3.8,3.4,4.6,1,43
5.0,2.8,3.8,2,50
5.4,2.8,2.4,2,48
5.2,5.4,2.4,4,43
3.2,3.6,2.8,3,54
5.2,3.8,2.4,4,50
5.4,4.8,2.0,3,50
5.2,4.8,1.6,4,56
5.4,5.4,3.6,5,48
5.2,3.6,1.2,5,42
4.0,3.2,1.4,4,50
4.4,3.6,4.6,5,47
5.8,4.0,3.8,3,49
4.0,2.8,2.0,5,41
4.4,3.6,4.0,5,43
5.2,4.2,2.2,2,50
4.2,2.8,2.4,1,53
5.0,4.6,1.4,5,41
4.6,3.0,4.8,3,45
5.0,5.6,4.4,2,47
5.5,3.0,1.0,5,50
3.0,3.8,2.0,5,48
5.6,4.5,1.6,5,59
5.6,5.4,1.2,5,48
5.6,5.2,3.0,4,50
3.8,3.4,2.8,4,55
4.6,4.8,1.8,5,41
3.4,4.4,3.2,5,44
4.8,5.0,2.0,3,46
5.6,3.4,3.2,2,48
5.2,4.6,1.8,3,55
4.4,5.8,4.6,3,50
5.4,4.6,3.8,4,47
5.0,3.4,1.4,4,52
5.6,3.8,4.0,2,56
5.0,4.6,3.0,NA,56
5.2,6.0,5.8,4,45
4.0,3.4,3.0,5,44
3.0,3.6,5.4,4,45
3.8,3.4,5.6,2,48
6.0,5.2,2.0,1,51
5.0,2.8,4.2,2,50
5.2,5.0,4.25,4,52
4.8,5.6,2.6,5,53
4.8,5.6,4.6,5,64
4.0,4.0,3.0,2,49
5.2,6.0,3.8,2,45
4.6,3.4,3.6,5,42
5.8,5.4,1.0,3,42
5.0,4.8,3.6,2,53
5.0,3.2,2.4,3,51
5.4,4.2,1.25,1,59
3.6,1.8,2.6,3,48
5.8,2.4,3.8,3,52
5.8,5.8,1.4,2,51
5.2,2.6,2.2,4,48
5.0,3.0,5.0,5,59
4.4,4.0,3.0,4,41
4.8,5.2,4.6,5,60
5.6,1.8,4.2,3,52
5.8,3.6,2.6,3,52
6.0,6.0,4.2,3,55
5.0,5.6,1.4,3,51
4.8,4.0,4.2,2,42
5.4,3.2,2.4,3,46
4.6,5.6,3.0,4,50
4.8,3.2,3.0,3,46
5.6,4.4,4.4,3,53
4.4,5.2,4.0,2,51
5.0,4.8,3.6,2,42
4.0,5.4,1.0,3,45
4.4,4.8,1.6,3,43
5.4,4.2,4.4,3,51
4.8,4.6,3.0,4,45
5.6,5.8,1.2,2,60
5.4,4.2,6.0,2,51
4.0,2.4,3.0,2,55
5.4,4.4,3.0,3,43
4.8,4.4,2.4,3,60
3.2,2.8,5.2,4,42
6.0,5.6,1.8,3,44
5.8,5.0,2.6,3,47
4.8,4.2,1.6,3,44
4.2,3.8,3.8,3,41
5.4,3.8,2.2,3,44
5.4,5.6,1.0,3,46
5.4,5.2,1.6,3,42
5.0,4.8,3.4,NA,45
6.0,3.8,2.0,3,43
6.0,4.2,4.0,3,55
6.0,4.2,4.0,3,55
6.0,6.0,1.2,3,54
4.8,3.0,3.8,1,53
5.4,4.0,1.8,3,52
5.6,4.0,4.0,3,46
4.0,3.0,5.4,2,41
4.2,5.0,1.0,3,52
5.0,4.6,2.4,2,50
3.8,3.8,3.8,3,43
3.2,2.4,4.2,5,50
5.0,3.4,2.2,3,48
4.8,3.0,2.0,3,43
6.0,3.6,2.0,3,41
4.8,4.8,2.0,3,50
4.6,2.2,3.2,2,51
4.4,4.4,2.8,4,44
6.0,5.0,5.6,3,52
5.8,5.8,1.0,3,43
4.0,3.0,5.2,2,41
6.0,4.6,1.6,3,41
5.4,2.6,5.2,4,45
4.8,5.2,2.4,3,43
5.2,5.6,1.5,3,41
4.8,3.2,4.2,2,42
6.0,5.2,1.8,3,52
4.6,3.6,3.4,3,41
5.75,4.2,4.6,3,42
5.0,5.8,2.2,3,45
5.0,5.4,3.0,3,44
5.6,5.4,2.0,5,53
2.6,3.6,2.0,5,74
2.4,5.8,2.0,4,48
4.4,5.0,2.2,4,44
4.4,3.8,4.2,3,63
5.4,5.4,2.0,2,48
4.2,4.0,2.2,2,46
5.0,4.4,1.2,2,42
4.4,4.6,2.4,NA,57
4.2,3.0,5.2,2,48
5.4,4.4,2.8,4,41
5.0,4.2,2.2,2,48
5.4,4.4,2.2,5,50
5.4,4.8,4.0,5,54
4.4,3.2,2.8,3,51
4.6,5.4,3.6,4,53
4.6,5.6,1.8,2,42
5.2,5.0,2.6,5,56
4.6,5.4,2.8,1,43
5.8,4.6,1.4,5,43
4.4,3.6,4.2,5,51
4.8,4.2,2.0,5,56
5.8,4.6,4.0,5,41
2.0,2.6,2.6,5,52
6.0,4.4,4.6,2,45
5.4,4.0,5.8,4,41
4.8,4.6,3.0,5,47
4.8,4.4,4.0,3,50
3.6,5.0,3.4,5,55
4.0,2.8,3.6,2,49
6.0,5.0,1.8,4,56
4.0,5.0,4.0,3,46
5.0,4.6,4.4,3,46
6.0,5.6,1.8,4,55
4.0,3.2,5.2,4,53
3.4,3.0,4.2,4,48
4.6,3.2,5.0,3,41
5.2,5.0,1.2,3,41
4.8,4.4,3.0,3,60
5.6,4.8,2.0,3,53
4.6,3.2,2.8,4,55
4.8,3.8,1.6,5,41
4.6,3.8,2.8,5,52
4.2,3.6,1.0,5,56
3.6,3.4,2.4,5,55
5.0,5.6,1.0,4,43
6.0,6.0,2.4,2,48
5.6,3.2,2.2,5,52
4.0,2.8,1.4,4,46
5.6,4.8,1.8,3,43
5.75,5.6,4.2,2,62
5.75,5.8,1.2,2,50
4.6,3.8,4.4,NA,46
5.0,3.0,2.4,5,50
6.0,4.4,2.4,3,46
5.4,4.2,3.6,4,43
4.2,3.0,1.6,2,86
4.8,4.8,3.4,4,50
5.4,5.0,2.6,4,59
4.2,5.6,2.8,2,44
5.8,4.2,1.0,5,59
4.6,5.0,3.0,2,54
5.6,5.0,1.0,2,43
4.8,4.0,3.6,2,53
5.0,4.8,3.0,5,45
5.4,4.8,2.8,5,52
5.4,4.2,4.8,5,46
3.8,4.4,3.6,5,58
5.6,5.2,5.4,5,41
5.4,4.0,2.4,1,58
5.0,4.2,2.4,2,45
5.0,4.4,1.4,2,43
5.4,5.0,2.4,5,45
3.6,3.2,4.0,2,61
5.4,4.4,1.6,3,49
5.8,3.8,1.2,5,43
6.0,5.0,1.8,4,45
5.2,5.2,3.2,5,60
5.0,3.6,2.8,5,43
5.0,4.0,2.2,5,60
5.4,3.8,2.4,3,49
3.8,5.0,4.8,2,43
4.8,4.0,2.2,4,57
5.2,4.2,1.6,4,50
5.25,4.2,5.8,3,49
5.75,3.6,2.2,4,49
5.0,4.2,4.2,4,54
4.0,2.6,3.6,5,67
5.4,3.8,2.4,1,43
5.2,5.5,3.2,5,56
4.2,3.8,3.8,3,56
6.0,4.8,3.4,4,50
5.0,3.8,1.0,NA,51
6.0,5.2,2.0,2,44
2.6,3.4,2.6,4,43
6.0,4.0,1.0,4,55
5.4,5.6,2.0,5,45
4.6,3.6,5.0,3,48
5.8,5.8,4.0,NA,55
3.4,3.6,2.2,4,41
4.4,4.0,3.6,5,44
4.0,4.2,3.8,4,54
6.0,5.8,1.6,5,56
5.2,3.4,5.2,4,41
4.2,3.2,1.0,5,67
3.8,5.2,1.0,5,63
4.6,2.4,3.0,3,54
3.6,3.0,4.2,4,46
5.2,3.6,1.75,5,51
4.6,3.2,2.2,1,54
5.4,5.0,1.6,3,52
5.6,4.8,2.4,5,42
5.6,5.0,1.2,5,66
4.2,4.8,3.2,1,49
4.75,4.2,4.4,3,42
4.2,3.2,3.0,2,57
4.8,2.2,5.2,4,67
3.8,1.4,2.6,4,54
5.4,5.25,3.6,3,47
4.0,2.8,1.0,4,42
5.6,3.0,3.0,5,47
5.4,2.6,3.4,5,58
6.0,5.4,1.8,5,53
4.0,4.4,1.0,2,57
4.0,2.4,5.2,5,42
4.4,4.6,6.0,5,46
5.4,5.0,1.5,5,52
5.4,4.0,4.0,5,41
4.0,4.4,4.4,4,43
4.8,3.2,2.2,2,55
4.4,3.4,2.8,3,50
6.0,5.6,1.4,3,52
4.4,4.4,2.4,4,46
5.25,3.2,4.2,5,51
2.8,4.6,1.8,4,44
6.0,6.0,1.0,5,53
5.2,4.2,2.2,4,70
5.6,5.4,2.2,4,56
5.2,4.0,1.2,3,45
5.2,3.8,2.4,5,43
6.0,5.4,3.8,1,62
4.6,3.8,2.2,5,43
5.8,4.8,1.2,5,54
5.2,4.4,1.6,3,56
5.75,5.0,2.0,4,50
5.6,5.4,1.0,2,72
5.2,3.4,2.2,3,41
5.8,4.4,3.4,5,48
5.4,3.6,2.8,5,53
5.8,4.0,1.6,4,50
3.2,4.4,2.6,4,54
5.2,5.2,1.4,3,46
6.0,4.6,1.4,5,52
3.0,4.0,6.0,3,50
3.0,3.0,1.0,1,44
5.4,3.4,2.8,2,57
5.6,5.4,2.4,5,42
6.0,4.0,3.0,3,42
4.0,5.4,4.25,3,43
5.4,5.8,1.4,3,42
4.8,3.0,3.4,5,45
5.4,5.0,2.2,2,48
4.4,3.8,4.2,4,44
4.0,4.0,3.0,4,45
4.4,2.8,2.2,4,49
5.8,5.8,1.75,5,52
4.4,4.4,1.8,3,49
5.6,4.2,2.2,5,45
5.0,3.75,1.6,3,52
5.2,2.8,4.4,5,54
3.8,2.2,4.5,3,51
5.6,5.0,1.4,3,43
4.2,3.2,4.2,5,44
5.6,4.0,3.8,5,45
5.6,4.0,1.2,1,53
5.4,5.2,1.8,3,62
4.2,5.8,3.6,3,44
4.8,4.2,4.2,3,49
4.0,4.2,2.8,2,46
5.4,5.4,1.6,5,50
5.4,4.8,3.8,3,45
6.0,5.0,3.5,3,47
6.0,4.8,3.6,3,47
2.8,4.2,3.0,3,55
2.8,4.2,3.0,3,55
4.6,3.2,2.2,1,51
5.6,6.0,1.8,4,43
4.8,3.0,6.0,4,49
5.0,2.75,3.75,3,44
5.6,5.0,1.8,3,50
5.5,6.0,2.0,5,48
5.0,4.4,4.8,NA,47
4.8,5.6,2.8,1,44
5.8,5.4,1.8,3,52
5.2,4.2,1.0,3,50
5.0,5.0,3.2,3,46
4.6,6.0,3.0,3,57
5.4,4.2,1.8,3,41
5.6,4.8,4.0,3,51
5.6,4.6,4.0,2,49
4.6,2.2,3.4,3,41
5.0,5.0,3.2,5,51
5.6,4.0,3.8,3,43
5.8,4.8,2.8,3,41
5.6,4.0,1.6,3,53
5.666666666666667,3.8,1.4,1,42
5.8,3.8,1.6,4,53
4.2,5.0,3.4,3,47
4.6,2.8,3.0,4,45
6.0,6.0,3.4,3,48
5.8,4.2,2.6,3,41
3.8,1.6,1.6,2,47
5.8,5.0,1.4,3,50
4.6,6.0,1.2,4,55
5.4,5.2,3.6,2,41
4.8,4.6,1.8,2,52
4.0,2.6,3.4,1,46
4.4,2.6,4.0,4,48
6.0,5.6,1.8,5,50
5.8,4.8,1.8,2,42
4.2,3.2,2.2,5,52
6.0,4.2,4.8,2,58
5.2,4.6,3.0,5,50
3.6,1.6,1.8,3,58
4.8,5.6,3.8,3,51
5.0,3.2,1.6,2,53
5.4,2.4,3.6,NA,61
5.2,4.2,3.0,2,48
3.0,1.6,5.4,2,42
5.8,5.8,1.0,4,43
4.0,4.0,1.8,4,44
5.0,3.8,3.0,4,56
4.0,2.8,4.8,5,51
5.4,4.6,2.4,5,58
5.8,5.2,2.0,3,49
6.0,2.0,2.2,3,48
6.0,5.0,1.0,5,45
4.0,4.4,3.0,2,52
4.0,1.5,3.2,4,47
4.4,4.6,2.0,5,51
6.0,5.0,1.0,3,50
5.8,3.4,2.2,3,42
6.0,5.4,2.8,5,42
5.4,4.0,2.6,3,57
6.0,5.8,1.0,3,63
4.6,3.4,5.0,4,48
5.6,5.6,1.4,3,48
5.2,4.0,3.0,1,44
4.4,4.0,3.0,1,46
6.0,5.0,4.4,4,56
5.0,5.6,1.4,4,44
5.8,4.2,2.75,3,45
3.8,3.0,3.6,3,42
4.8,5.0,2.2,5,41
5.0,4.6,3.2,5,48
5.2,3.2,5.2,4,52
6.0,2.0,6.0,1,41
3.8,4.4,2.6,4,48
6.0,5.0,1.6,5,61
4.8,3.4,3.2,3,43
4.8,2.6,3.2,1,47
5.2,5.2,2.2,5,47
5.4,5.4,4.2,3,44
5.6,4.6,3.2,5,54
4.2,3.8,4.8,5,44
5.6,3.6,3.0,4,46
4.6,2.6,4.8,5,47
5.2,5.2,3.2,4,43
5.8,4.0,1.6,2,47
5.4,4.0,3.4,5,58
5.8,3.6,1.8,3,47
5.8,5.6,2.6,3,46
5.4,3.2,1.4,5,56
4.2,3.2,3.6,1,42
5.4,5.4,4.0,4,42
4.4,2.4,2.6,5,62
3.2,2.5,2.8,4,51
4.2,4.4,3.8,3,42
1.8,1.4,2.4,2,48
3.8,4.2,1.4,4,51
5.6,5.0,2.4,5,45
4.4,2.4,4.0,4,50
3.8,1.2,5.4,4,50
4.4,4.6,3.8,5,56
3.6,4.0,4.4,2,65
5.6,5.2,2.0,4,45
4.6,1.2,2.6,4,43
5.2,4.0,1.2,4,55
5.2,3.8,2.6,1,49
5.6,5.6,1.2,3,42
6.0,5.4,1.0,2,61
4.0,4.6,4.6,NA,41
4.8,4.25,3.0,NA,52
4.4,3.4,5.0,3,44
4.8,5.0,1.4,3,57
5.8,5.0,1.4,4,42
5.2,4.0,4.0,5,44
5.4,5.8,2.0,4,46
5.6,5.4,2.6,5,45
4.2,2.4,4.0,5,46
3.75,4.0,2.6,4,49
5.0,4.8,2.2,5,43
5.2,4.6,1.2,4,51
5.25,5.6,2.8,5,57
5.0,4.0,2.6,3,48
4.8,4.2,1.0,2,54
3.8,1.4,2.5,4,46
5.6,4.0,5.8,3,56
3.8,3.2,4.0,1,43
3.8,2.8,4.0,5,43
4.8,2.8,2.8,4,47
5.2,4.8,3.8,3,41
5.2,6.0,4.2,4,52
5.0,3.6,3.0,2,42
4.75,5.0,3.6,2,43
4.0,4.2,5.2,1,45
5.0,1.0,3.0,4,47
4.6,3.2,3.2,3,47
3.0,2.6,1.4,4,50
